"","state","total_population","votingAgeCap","total_votes_2012","total_votes_2016","White","Black","Hispanic","Nonwhite","Foreign_born","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Party_Name","Vote_Count","Year"
"21","California",38654206,24582600,13038547,14181595,14837242,2158363,14903982,23816964,10437630,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","OTH",344304,2012
"22","California",38654206,24582600,13038547,14181595,14837242,2158363,14903982,23816964,10437630,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","REP",4483810,2016
"23","California",38654206,24582600,13038547,14181595,14837242,2158363,14903982,23816964,10437630,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","DEM",8753788,2016
"24","California",38654206,24582600,13038547,14181595,14837242,2158363,14903982,23816964,10437630,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","OTH",943997,2016
"25","Colorado",5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","REP",1185050,2012
"26","Colorado",5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","DEM",1322998,2012
"27","Colorado",5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","OTH",61169,2012
"28","Colorado",5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","REP",1202484,2016
"29","Colorado",5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","DEM",1338870,2016
"30","Colorado",5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","OTH",238866,2016
"31","Connecticut",3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","REP",624210,2012
"32","Connecticut",3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","DEM",891674,2012
"33","Connecticut",3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","OTH",17661,2012
"34","Connecticut",3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","REP",673215,2016
"35","Connecticut",3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","DEM",897572,2016
"36","Connecticut",3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","OTH",74133,2016
"37","Delaware",934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","REP",165484,2012
"38","Delaware",934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","DEM",242584,2012
"39","Delaware",934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","OTH",5869,2012
"40","Delaware",934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","REP",185127,2016
"41","Delaware",934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","DEM",235603,2016
"42","Delaware",934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","OTH",22267,2016
"43","District of Columbia",659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","REP",21381,2012
"44","District of Columbia",659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","DEM",267070,2012
"45","District of Columbia",659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","OTH",5313,2012
"46","District of Columbia",659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","REP",12723,2016
"47","District of Columbia",659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","DEM",282830,2016
"48","District of Columbia",659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","OTH",15715,2016
"49","Florida",19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","REP",4163447,2012
"50","Florida",19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","DEM",4237756,2012
"51","Florida",19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","OTH",72976,2012
"52","Florida",19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","REP",4617886,2016
"53","Florida",19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","DEM",4504975,2016
"54","Florida",19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","OTH",297178,2016
"55","Georgia",10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C","#DC143C","REP",2078688,2012
