"","state","Rep_12","Dem_12","Other_12","Rep_16","Dem_16","Other_16","total_population","votingAgeCap","total_votes_2012","total_votes_2016","White","Black","Hispanic","Nonwhite","Foreign_born","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","VoteDiff","VoteRange"
"21","Massachusetts",1188314,1921290,58163,1090893,1995196,188466,6742143,4887320,3167767,3274555,4970011,443182,731739.000000001,1772132,1061461,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"Democrat","Democrat",-904303,6731359.5800027
"22","Michigan",2115256,2564569,51136,2279543,2268839,250902,9909600,7408635,4730961,4799284,7503076,1361993,474381,2406524,632482,5039715,3843674,1527698,855391.690853221,1002377.05529532,7176594.23891731,830054.412384449,7011678.14743151,2508346.88961855,43373,"Democrat","Repblican",10704,8561373.5800027
"23","Minnesota",1320225,1546167,70169,1322951,1367716,254146,5450868,3980480,2936561,2944813,4432384,305402.999999999,276026,1018484,426690.999999999,2740711,2154225,779405,264786.40290116,401647.404736562,3583152.65157161,256787.692396778,3454455.07665939,1427617.56462439,53059,"Democrat","Democrat",-44765,8450435.5800027
"24","Mississippi",710746,562949,11889,700714,485131,23512,2989192,2217760,1285584,1209357,1710126,1117387,86704,1279066,67330,1538923,1235812,426632,292173.478456009,508299.18693431,2355433.92518118,374581.45480244,2212144.55878083,1500565.55072293,34761.5,"Repblican","Repblican",215583,8971131.5800027
"25","Missouri",1452931,1118126,49453,1569857,973333,135590,6059651,4547870,2620510,2678780,4850569,696649,237284,1209082,236079,3086334,2388608,929934,403964.239319565,673542.164664664,4379288.28517713,571985.099941856,4224297.73386124,1774212.92529111,41351,"Repblican","Repblican",596524,9733013.5800027
"26","Montana",267928,201839,14165,279240,177709,40198,1023391,789490,483932,497147,888635,3948,34841,134756,20912,509200,388660,170868,58821.8881544883,72646.470059332,715431.022642741,64852.5494962115,703232.967980947,448542.628929715,44389.5,"Repblican","Repblican",101531,8743027.5800027
"27","Nebraska",475064,302081,17234,495961,284454,63772,1881259,1341015,794379,844187,1511352,85910.9999999998,191802,369907,126533,945324,781774,271498,78484.5226301627,175285.691928328,1312731.33787906,101314.517115297,1267647.86025001,489542.549204366,49943,"Repblican","Repblican",211507,8962979.5800027
"28","Nevada",463567,531373,19978,512058,539260,74067,2839172,1902290,1014918,1125385,1455508,233440,790496.999999999,1383664,547695.999999999,1412850,1122459,400855,264878.070386498,414614.645661377,2180675.09468876,200006.309829323,2050387.3501641,159680.916751909,52629,"Democrat","Democrat",-27202,8485561.5800027
"29","New Hampshire",329918,369561,11452,345790,348526,49980,1327503,1027635,710931,744296,1211271,15565,43500,116232,77063,670996,473811,210385,67288.5049298368,98681.3081840989,856088.453182291,91231.6875817076,856271.638964554,524720.292901279,59849.5,"Democrat","Democrat",-2736,8534493.5800027
"30","New Jersey",1477568,2125101,37623,1601933,2148278,123835,8915456,6087275,3640292,3874046,5054611,1133918,1719831,3860845,1943338,4564925,3372688,1312291,702736.619950892,994084.300390156,5583166.11702508,610690.754183009,5117080.98742963,464505.188441765,72999,"Democrat","Democrat",-546345,7447275.5800027
"31","New Mexico",335788,415335,32635,319667,385234,93418,2082669,1464245,783758,798319,805603,37318,995831,1277066,201343,1051229,848931,318286,178886.941354796,325356.675237658,1534188.23355348,119700.483407853,1267709.57017655,464476.213080501,36160,"Democrat","Democrat",-65567,8408831.5800027
"32","New York",2223397,4324228,514300,2814589,4547562,345212,19697457,13605855,7061925,7707363,11111314,2829883,3661929,8586143,4442247,10142327,7659802,2893801,1492445.45867082,2788048.4794419,12909608.4052916,1559876.25936058,11204215.394196,2331185.68167168,51827,"Democrat","Democrat",-1732973,5074019.5800027
"33","North Carolina",2270395,2178391,56586,2362631,2189316,189617,9940828,7203800,4505372,4741564,6361438,2104597,884763,3579390,767656,5106236,3910938,1459330,839240.44860871,1351565.10897986,7038449.82947645,931702.983454644,6563783.44911521,3289930.11394632,41031,"Repblican","Repblican",173315,8886595.5800027
"34","North Dakota",188320,124966,9646,216794,93758,33808,736162,555685,322932,344360,635834,14492,22997,100328,24364,359183,315055,104745,20732.9735196752,58110.030309149,526954.397433515,50597.4231324555,520460.756046156,290399.71878806,55900,"Repblican","Repblican",123036,8786037.5800027
"35","Ohio",2661407,2827621,91794,2841005,2394164,261318,11586941,8734140,5580822,5496487,9265123,1402423,400932,2321818,484708,5913048,4488640,1796337,843790.574440392,1218019.00868899,8484490.38887314,1051320.13103968,8258521.84052764,2540299.95562181,48462,"Democrat","Repblican",446841,9433647.5800027
"36","Oklahoma",891325,443547,0,949136,420375,83481,3875589,2787660,1334872,1452992,2593871,276559,381467,1281718,225516,1955594,1609291,561885,234238.214068915,492232.076226472,2920856.12892709,376204.149296478,2816936.84756904,1285831.56083614,44331,"Repblican","Repblican",528761,9597487.5800027
"37","Oregon",754175,970488,64607,782403,1002106,216827,3982267,2911325,1789270,2001336,3066467,70359,494806,915800,390613,2010755,1498397,634574,324945.267599631,400760.165727458,2729537.86104169,261641.385891959,2645961.97877859,744598.251383519,45393,"Democrat","Democrat",-219703,8100559.5800027
"38","Pennsylvania",2707187,2963521,71332,2970733,2926441,218228,12783977,9725830,5742040,6115402,9934801,1353424,843163.999999999,2849176,818363,6528935,4779397,2133247,926908.955396929,1344566.07578947,9027648.68786834,1083691.98224255,8713412.38607116,2702028.00948053,49028,"Democrat","Repblican",44292,8628549.5800027
"39","Rhode Island",157151,279409,9159,180490,251888,31038,1054491,780250,445719,463416,780278,57348,148375,274213,142663,543194,401936,166517,81659.1402856735,138613.157330823,713075.174118067,107924.439767837,687876.482312111,97448.1932334778,71347,"Democrat","Democrat",-71398,8397169.5800027
"40","South Carolina",1071645,865941,26532,1155389,855373,92265,4834605,3620835,1964118,2103027,3087207,1311344,258361,1747398,230716,2486267,1886258,761680,408989.152604469,673827.485621821,3553076.4455093,499153.240324023,3322013.86966697,1597010.45244015,40312.5,"Repblican","Repblican",300016,9139997.5800027
"41","South Dakota",210422,142102,8146,227480,114948,24760,836795,618215,360670,367188,704847,13645,28693,131948,27163,415551,342153,128309,33779.3415962474,72444.1387086313,603783.653564125,56690.3324541704,591260.310070451,351281.155376181,49859,"Repblican","Repblican",112532,8765029.5800027
"42","Tennessee",1462330,960709,35538,1522925,870695,114407,6548009,4876600,2458577,2508027,4879669,1092491,327345,1668340,315319,3356032,2556614,984449,498232.911369076,910269.355044524,4872838.29575812,744479.662234717,4643117.40055012,2170751.46141634,39728,"Repblican","Repblican",652230,9844425.5800027
"43","Texas",4569843,3308124,115884,4685047,3877868,406311,26956435,17177620,7993851,8969226,11705684,3134962,10413150,15250751,4494345,13577270,11840066,3096567,1748019.01762048,4813242.44794018,19400116.210329,1746820.17964163,16624416.2741885,4015158.20856125,46454.5,"Repblican","Repblican",807179,10154323.5800027
"44","Utah",740600,251813,25027,515231,310676,305523,2948427,1903500,1017440,1131430,2339279,30243,397915,609147.999999999,244784,1465372,1457860,295342,149596.423090837,246321.520154249,2007522.2067688,137805.536573178,1930608.36079973,273974.472384909,52865,"Repblican","Repblican",204555,8949075.5800027
"45","Vermont",92698,199239,7353,95369,178573,41135,626249,493535,299290,315077,585154,7050,10900,41095,27555,317538,224884,106193,31210.0074470424,50469.6885720127,397827.357438413,47244.0217372527,397011.837868906,381331.207320301,53789.5,"Democrat","Democrat",-83204,8373557.5800027
"46","Virginia",1820995,1970595,60094,1769443,1981473,233715,8310301,5998900,3851684,3984631,5245259,1568053,725092,3065042,986495,4224018,3269724,1144817,503383.848982781,937787.562182039,5234860.16783696,631177.564064905,4784274.75729863,1991141.80527144,49639,"Democrat","Democrat",-212030,8115905.5800027
"47","Washington",1290670,1755396,79450,1221747,1742718,244749,7073146,5008030,3125516,3209214,4978375,246909,854275,2094771,957185,3543715,2783030,992841.999999999,490993.378914147,677515.805884357,4718994.41430324,403455.609206737,4555488.37507683,1107902.02613602,50145,"Democrat","Democrat",-520971,7498023.5800027
"48","West Virginia",417655,238269,14516,489371,188794,34886,1846092,1453210,670440,713051,1706156,62385,26247,139936,28908,933822,657591,328124,141758.373704369,268997.027534389,1480784.29712645,269178.907454747,1482913.12520497,941179.794967167,39381,"Repblican","Repblican",300577,9141119.5800027
"49","Wisconsin",1410966,1620985,39483,1404440,1381823,189490,5754798,4313285,3071434,2975753,4727553,355387,371205,1027245,277238,2895743,2221833,875220,319903.23732184,497832.407330197,4112644.96010388,365012.746344339,3990383.30903566,1704051.37123417,51411.5,"Democrat","Repblican",22617,8585199.5800027
"50","Wyoming",170962,69286,8813,174419,55973,25457,583029,432375,249061,255849,491859,6176,56386.0000000001,91170,20712,285338,236650,80707.0000000001,28797.39677706,44311.0697992047,430931.68498239,33348.1716727358,421454.866630075,203656.580744948,55640,"Repblican","Repblican",118446,8776857.5800027
